Book,Chapter,Entities
Harry Potter and the Goblet of Fire,21,"Ron Weasley, Harry Potter, Pigwidgeon, Sirius Black, first task, Gryffindor, golden egg, Hermione Granger, Fred Weasley, kitchen, house-elves, Rita Skeeter, Hagrid, Care of Magical Creatures, Dumbledore, Hogwarts Castle, Gryffindor Tower, kitchens, domestic elves, Dobby, Winky, free house-elf, Barty Crouch"
Harry Potter and the Goblet of Fire,22,"Transfiguration class, Professor McGonagall, Yule Ball, December 25, fourth years, Harry Potter, dance partner, champions, dates, Triwizard Tournament, Ron Weasley, Fred Weasley, George Weasley, Pigwidgeon, Sirius Black, Cho Chang, Cedric Diggory, Gryffindor common room, Ginny Weasley, Fleur Delacour, Hermione Granger, Neville Longbottom"
Harry Potter and the Goblet of Fire,23,"holidays, Hermione Granger, Ron Weasley, Yule Ball, Draco Malfoy, curse, front teeth, Madam Pomfrey, Mad-Eye Moody, Pigwidgeon, Sirius Black, first task, Christmas Day, Dobby, mismatched socks, wages, Mrs Weasley, dragon jumper, magical penknife, Great Hall, Viktor Krum, champions, judges' table, Barty Crouch, Percy Weasley, Crouch's assistant, Weird Sisters, Harry Potter, Patil sisters, opening dance, treason, Fred Weasley, George Weasley, Ludo Bagman, Igor Karkaroff, Professor Snape, Hagrid, Madame Maxime, Half-giant, giants, wizarding world, Cedric Diggory, golden egg, Prefects' bathroom, password, dragons"
Harry Potter and the Goblet of Fire,24,"Ron Weasley, Hermione Granger, Hagrid, half-giant, Harry Potter, Cedric Diggory, Cho Chang, Professor Grubbly-Plank, Care of Magical Creatures, Draco Malfoy, Rita Skeeter, giant heritage, Madam Maxime, Hogwarts, Hogsmeade, Three Broomsticks Inn, Ludo Bagman, goblins, Barty Crouch, Percy Weasley, Bertha Jorkins, tournament, Fred Weasley, George Weasley, Hagrid's cabin, Dumbledore, Hagrid's father, Tournament"
Harry Potter and the Goblet of Fire,25,"Harry Potter, Prefects' bathroom, golden egg, Invisibility Cloak, Marauder's Map, Moaning Myrtle, merpeople, Black Lake, Gryffindor tower, Barty Crouch, Professor Snape, Snape's office, trick stair, Filch, Mad-Eye Moody, Hogwarts, Dark wizard, Auror"
Harry Potter and the Goblet of Fire,26,"Harry Potter, Ron Weasley, Hermione Granger, Professor Snape, Goblet of Fire, Sirius Black, school owl, Professor McGonagall, Restricted Section, second task, Hogsmeade, library, Fred Weasley, George Weasley, Invisibility Cloak, Dobby, gillyweed, gills, fins, lake, Percy Weasley, Barty Crouch, Grindylows, Moaning Myrtle, Merpeople, Cho Chang, Fleur's sister, Cedric Diggory, Viktor Krum, Fleur Delacour, judges, moral fibre, Ludo Bagman, third task, June 24"
Harry Potter and the Goblet of Fire,27,"Sirius Black, Hogsmeade, food, Potions, Slytherin, Pansy Parkinson, Hermione Granger, Witch Weekly, Rita Skeeter, Harry Potter, Viktor Krum, Love Potions, Professor Snape, Slytherins, boomslang skin, gillyweed, Veritaserum, Igor Karkaroff, Ron Weasley, mountain cave, Buckbeak, Daily Prophet, Winky, World Cup, Top Box, Barty Crouch, Azkaban, Department of Magical Law Enforcement, Minister for Magic, Voldemort, Death Eaters, Aurors, Unforgivable Curses, Barty Crouch Junior, show trial, Crouch's wife, Cornelius Fudge, Department of International Magical Cooperation, tournament judge, Dumbledore, Dark Arts, Mad-Eye Moody, Percy Weasley, Hogwarts, Dark Mark"
Harry Potter and the Goblet of Fire,28,"Hedwig, Percy Weasley, kitchen, Dobby, socks, Harry Potter, Winky, butterbeer, house-elves, Barty Crouch, hate mail, Hermione Granger, Rita Skeeter, Hospital Wing, Care of Magical Creatures, Hagrid, Nifflers, gold coins, Leprechaun gold, Easter, Mrs Weasley, Easter eggs, Ron Weasley, May 24, champions, Quidditch pitch, Ludo Bagman, magical maze, Triwizard Cup, Viktor Krum, Forbidden Forest, Dumbledore, Voldemort, Bertha Jorkins, Igor Karkaroff, Gryffindor Tower, Sirius Black"
Harry Potter and the Goblet of Fire,29,"Harry Potter, Ron Weasley, Hermione Granger, Barty Crouch, Voldemort, Owlery, Sirius Black, Fred Weasley, George Weasley, blackmail, Joke Shop, Percy Weasley, Mad-Eye Moody, Ministry of Magic, final task, Third Task, defensive spells, Divination, vision, Wormtail, Hospital Wing, Dumbledore, Dumbledore's office, Cornelius Fudge, Bertha Jorkins, Madame Maxime, half-giant, Hagrid"
Harry Potter and the Goblet of Fire,30,"Dumbledore, Cornelius Fudge, Mad-Eye Moody, Harry Potter, Dumbledore's office, Pensieve, memories, Igor Karkaroff, Death Eaters, Professor Snape, Voldemort, Ludo Bagman, Lestrange family, Barty Crouch Junior, Cruciatus Curse, Alice Longbottom, Frank Longbottom, Azkaban, Bertha Jorkins, Hogwarts, Divination, Sirius Black, Hogsmeade, Ministry of Magic, Frank Bryce, Muggle, Neville Longbottom, grandmother"
Harry Potter and the Goblet of Fire,31,"Harry Potter, Pensieve, Ron Weasley, Hermione Granger, Neville Longbottom, Rita Skeeter, Winky, Ludo Bagman, Dark wizard, Voldemort, final exams, Professor McGonagall, Draco Malfoy, Sirius Black, third task, North Tower, Hogwarts, Dursleys, Molly Weasley, Bill Weasley, Amos Diggory, Mrs Diggory, Percy Weasley, Barty Crouch, Cornelius Fudge, Triwizard judge, Weasley children, Cedric Diggory, Four-Point Spell, Blast-Ended Skrewt, Boggart, Dementor, Fleur Delacour, Viktor Krum, sphinx, Acromantula, Triwizard Cup, Portkey, cemetery, Little Hangleton"
Harry Potter and the Goblet of Fire,32,"Harry Potter, Cedric Diggory, hooded stranger, Peter Pettigrew, Tom Riddle, marble tombstone, black cords, missing finger, deformed infant, cauldron, Harry's blood, bone dust, Tom Riddle Senior's grave, right hand, Lord Voldemort, physical form, powers, Sybill Trelawney, prophecy"
Harry Potter and the Goblet of Fire,33,"Voldemort, Wormtail, Peter Pettigrew, Dark Mark, Death Eaters, Harry Potter, Muggle orphanage, witch, Albus Dumbledore, wizarding society, silver hand, Lucius Malfoy, Lily Potter, protection spell, Albanian forest, Quirinus Quirrell, Philosopher's Stone, Albania, corporeal body, Bertha Jorkins, rats, Triwizard Tournament, memory charm, faithful Death Eater, Britain, Hogwarts, graveyard, duel, minions"
Harry Potter and the Goblet of Fire,34,"Voldemort, Harry Potter, duel, Dark Lord, Imperius Curse, Death Eaters, brother wands, phoenix feathers, Priori Incantatem, spirit echoes, Voldemort's victims, Harry's parents, Portkey, Hogwarts, Cedric Diggory's body"
Harry Potter and the Goblet of Fire,35,"Hogwarts, students, Cedric Diggory's body, Harry Potter, Dumbledore, Cornelius Fudge, Cedric's parents, Mad-Eye Moody, Moody's office, potion, Igor Karkaroff, faithful servant, Voldemort, Dark Mark, Death Eaters, Goblet of Fire, Hagrid, dragons, first task, gillyweed, Professor McGonagall, Dobby, Professor Snape, Neville Longbottom, Herbology book, third task, Fleur Delacour, Viktor Krum, Alastor Moody, pumpkin patch, black dog, Moody's trunk, seventh compartment, Polyjuice Potion, Barty Crouch Junior, Winky, Veritaserum, Azkaban, Barty Crouch Senior, Mrs Crouch, Imperius Curse, private funeral, Bertha Jorkins, Memory Charm, Quidditch World Cup, Invisibility Cloak, Top Box, Harry's wand, Wormtail, Peter Pettigrew, home imprisonment, Marauder's Map, potions ingredients, bone, Hagrid's yard, Triwizard Cup, Portkey"
Harry Potter and the Goblet of Fire,36,"Dumbledore, Harry Potter, Sirius Black, Professor McGonagall, Barty Crouch Junior, Professor Snape, Mad-Eye Moody, Hospital Wing, Cornelius Fudge, Dumbledore's office, Priori Incantatem, Voldemort's victims, dog, Sleeping Potion, Molly Weasley, Bill Weasley, Dementor, soul, evidence, Voldemort's return, Rita Skeeter, Harry's scar, Death Eaters, Daily Prophet, Dementors, Azkaban, giants, Dark Mark, Tournament winnings, Arthur Weasley, Ministry of Magic, Hagrid, Madame Maxime, Madam Pomfrey, Winky, Order of the Phoenix, Cedric Diggory, Triwizard Cup"
Harry Potter and the Goblet of Fire,37,"Harry Potter, Cedric Diggory's parents, Tournament winnings, Dumbledore, Rita Skeeter, Hagrid, Voldemort's return, Madame Maxime, Leaving Feast, memorial feast, graveyard, Ministry of Magic, Fleur Delacour, Viktor Krum, Ron Weasley, Hermione Granger, Hogwarts Express, King's Cross Station, Daily Prophet, unregistered animagus, beetle, Hospital Wing, third task, Yule Ball, Second Task, Divination, Draco Malfoy, Pansy Parkinson, tree, bug, Ministry, Crabbe, Goyle, hexes, Fred Weasley, George Weasley, blackmail, Ludo Bagman, Quidditch World Cup, Leprechaun gold, gambling, goblins, Triwizard Winnings, joke shop, Vernon Dursley"
Harry Potter and the Order of the Phoenix,1,"Harry Potter, 4 Privet Drive, Muggle, aunt, uncle, cousin, wizarding world, heat wave, walks, news, Lord Voldemort, Daily Prophet, Minister for Magic, Cornelius Fudge, Dudley Dursley, street gang, Cedric Diggory's death, wand, Dementors, Patronus Charm, Mrs Figg, cat-loving neighbour, Mundungus Fletcher, Order of the Phoenix, Disapparated"
Harry Potter and the Order of the Phoenix,2,"Mrs Figg, Squib, Harry Potter, Dudley Dursley, Privet Drive, Dumbledore, Mundungus Fletcher, Order of the Phoenix, Aunt Petunia, Uncle Vernon, Muggles, Dementors, Ministry of Magic, Hogwarts, underage magic, Arthur Weasley, August 12, hearing, wand, suspension, expelled, Vernon Dursley, Howler, Remember my last Petunia"
Harry Potter and the Order of the Phoenix,3,"Harry Potter, Sirius Black, Hermione Granger, Ron Weasley, locked, room, anger, Uncle Vernon, Aunt Petunia, Dudley Dursley, award ceremony, suburban lawn, England, Nymphadora Tonks, Advance Guard, Order of the Phoenix, Lord Voldemort, Death Eaters, Mad-Eye Moody, Remus Lupin, Kingsley Shacklebolt, The Burrow, broomsticks, cold night, headquarters, 12 Grimmauld Place"
Harry Potter and the Order of the Phoenix,4,"Harry Potter, 12 Grimmauld Place, London, Weasleys, Hermione Granger, Sirius Black, Order of the Phoenix, Mrs Weasley, Ron Weasley, Dumbledore, Fred Weasley, George Weasley, Apparition, Ginny Weasley, Severus Snape, Bill Weasley, Charlie Weasley, England, Fleur Delacour, Gringotts, English, foreign wizards, Percy Weasley, Arthur Weasley, Cornelius Fudge, Junior Assistant, Ministry of Magic, Molly Weasley, Daily Prophet, Rita Skeeter, attention-seeking liar, Dementor attack, hearing, expelled, Nymphadora Tonks, umbrella stand, portrait, cursing, curtains, Sirius's mother"
Harry Potter and the Order of the Phoenix,5,"Sirius Black, Number 12 Grimmauld Place, Black family, ancestral home, mother's death, Harry Potter, wanted criminal, Voldemort, Death Eaters, Animagus, Wormtail, Order of the Phoenix, Fred Weasley, George Weasley, cauldron, stew, butterbeer, breadboard, knife, magic, came of age, Bill Weasley, Arthur Weasley, Remus Lupin, goblins, Ludo Bagman, Mundungus Fletcher, Molly Weasley, Dumbledore, Ginny Weasley, low profile, army, rebirth, Ministry of Magic, Cornelius Fudge, Dumbledore's job, fourteen years, peace, credibility, murderer, werewolf, Daily Prophet, weapon, kids, bed"
Harry Potter and the Order of the Phoenix,6,"Harry Potter, Ron Weasley, Fred Weasley, George Weasley, Apparate, Voldemort, Mrs Weasley, Molly Weasley, cleaning, house, joke shop, money, Daily Prophet, Mundungus Fletcher, Kreacher, house-elf, House of Black, cursing, Hermione Granger, mudblood, Sirius Black, tapestry, family tree, Noble and Most Ancient House of Black, disowned, sixteen, James Potter, uncle, Regulus Black, Death Eater, purification, wizarding race, Muggle-borns, pure-bloods, Malfoys, Lucius Malfoy, Narcissa Malfoy, Nymphadora Tonks, Andromeda Tonks, Bellatrix Lestrange, Azkaban, Dumbledore's Pensieve, Barty Crouch Junior, protective enchantments, Dumbledore, security measures, Order of the Phoenix headquarters, hearing, Arthur Weasley, Ministry of Magic"
Harry Potter and the Order of the Phoenix,7,"Harry Potter, breakfast, Amelia Bones, hearing, Nymphadora Tonks, Sirius Black, temper, Hogwarts, expelled, Remus Lupin, underage wizards, magic, life-threatening situations, Arthur Weasley, Ministry of Magic, disciplinary hearing, London Underground, Apparate, telephone booth, Atrium, fountain, wizards, witches, magical creatures, fireplaces, Disapparate, lift, Department of Magical Law Enforcement, Kingsley Shacklebolt, Mr Weasley's office, Perkins, Courtroom Ten, basement, stairs"
Harry Potter and the Order of the Phoenix,8,"Harry Potter, courtroom, Dumbledore's Pensieve, Cornelius Fudge, Wizengamot, Percy Weasley, scribe, Dumbledore, trial, Dementors, convenient lie, Mrs Figg, witness, Dudley Dursley, Little Whinging, Ministry of Magic, extraordinary circumstances, Hover Charm, Dobby, Harry's aunt, rule-breaking, Hogwarts, authority, students, irregularity, trial, wand, charges, full Wizengamot, under-age magic, vote, cleared, charges, verdict"
Harry Potter and the Order of the Phoenix,9,"Harry Potter, Dumbledore, courtroom, Mr Weasley, Arthur Weasley, cleared, charges, Wizengamot, recognition, Cornelius Fudge, Percy Weasley, Grimmauld Place, assignment, Lucius Malfoy, Imperius Curse, acquittal, holidays, Hogwarts letters, Ron Weasley, Hermione Granger, prefects, Molly Weasley, broomstick, Diagon Alley, books, resentment, dinner party, Sirius Black, James Potter, fifth year, Remus Lupin, Boggart, Alastor Moody, Mad-Eye Moody, original Order of the Phoenix, photograph, family members, dead, worst fears, future, loved ones"
Harry Potter and the Order of the Phoenix,10,"Platform Nine and Three-Quarters, departure, guard, Mad-Eye Moody, Mrs Weasley, Molly Weasley, Fred Weasley, George Weasley, bewitching, trunks, Ginny Weasley, Harry Potter, Nymphadora Tonks, Sirius Black, Animagus, Hogwarts Express, Ron Weasley, Hermione Granger, prefects' carriage, compartment, Neville Longbottom, Luna Lovegood, Ravenclaw, prefects, Draco Malfoy, Pansy Parkinson, Slytherin, The Quibbler, tabloid magazine, father, editor, cronies, prefect, dogging around, Hogsmeade station, Hagrid, Professor Grubbly-Plank, first years, boats, carriage, winged horses, Thestrals"
Harry Potter and the Order of the Phoenix,11,"Harry Potter, school, winged horses, Hagrid's whereabouts, Ron Weasley, Luna Lovegood, Start-of-Term Feast, Sorting Hat, warning, new song, Dolores Umbridge, Senior Undersecretary, Minister for Magic, hearing, Defence Against the Dark Arts, Professor Grubbly-Plank, Dumbledore, start-of-term notices, speech, audience, Hermione Granger, Ministry of Magic, Hogwarts, Gryffindor Tower, Neville Longbottom, password, dormitory, Voldemort, Seamus Finnigan, Seamus's mother, Daily Prophet, Dean Thomas, Muggle, grandmother, subscription, fights"
Harry Potter and the Order of the Phoenix,12,"Harry Potter, Ron Weasley, Hermione Granger, common room, Fred Weasley, George Weasley, advertising posters, Seamus Finnigan, Lavender Brown, Voldemort's return, Angelina Johnson, Oliver Wood, Quidditch team captain, tryouts, Keeper, Daily Prophet subscription, joke products, students, O.W.L.s, N.E.W.T.s, seventh year, Career Advice sessions, classes, homework, Cho Chang, Defence Against the Dark Arts, Dolores Umbridge, Ministry-approved theory, risk-free way, dangerous half-breed, Remus Lupin, Gryffindor house points, detention, outburst, Professor McGonagall, McGonagall's office, note, temper, trouble, Umbridge's position, week"
Harry Potter and the Order of the Phoenix,13,"Harry Potter, students, Dolores Umbridge's class, dinner, snide remarks, Great Hall, Hermione Granger, Dumbledore's speech, Voldemort's return, Ministry of Magic, interference, common room, Cornelius Fudge, spy, Fred Weasley, George Weasley, joke products, first year students, mother, woolly hats, house-elves, S.P.E.W., Ordinary Wizarding Level exams, O.W.L.s, homework, Hagrid, Professor Grubbly-Plank, Care of Magical Creatures, Draco Malfoy, sacked, Lucius Malfoy, Hogwarts Castle, Angelina Johnson, detention, Quidditch team, tryouts, Defence Against the Dark Arts, I must not tell lies, blood, temper, outburst, Ron Weasley, broom, Keeper, Professor McGonagall, scar hurting, Sirius Black, intercepted"
Harry Potter and the Order of the Phoenix,14,"Saturday morning, Hermione Granger, Harry Potter, letter, Sirius Black, detention, Hagrid, coded words, Hedwig, winged horses, Cho Chang, Dolores Umbridge, Argus Filch, Dungbombs, breakfast, Daily Prophet, Ministry of Magic, London, Lucius Malfoy, Animagus, King's Cross Station, Sturgis Podmore, Order of the Phoenix, arrested, top secret room, guard duty, Platform Nine and Three-Quarters, Ron Weasley, Quidditch training, Draco Malfoy, Gryffindor team, Katie Bell, Hospital Wing, homework, Percy Weasley, prefect, bad influence, Dumbledore, mass murderer, Crookshanks, Common Room, Floo Network, intercepted, code, scar, Death Eater, racial hatred, half-breeds, Remus Lupin, werewolf, anti-werewolf legislation, defensive theory, textbook reading, Cornelius Fudge, combat, army, paranoia, arrest, Olympe Maxime, Madame Maxime, separated, Hogsmeade trip"
Harry Potter and the Order of the Phoenix,15,"Dolores Umbridge, spy, High Inquisitor, Educational Decrees, racial hatred, half-breeds, centaurs, werewolves, merpeople, professors, Fred Weasley, George Weasley, Lee Jordan, Ordinary Wizarding Level grades, Hermione Granger, Professor Flitwick, Divination, Sybill Trelawney, prediction, Defence Against the Dark Arts, Quirinus Quirrell, Ministry inspection, Harry Potter, Voldemort, detentions, Angelina Johnson, Professor McGonagall, house points, Transfiguration, inspection, disdain, Wilhelmina Grubbly-Plank, Care of Magical Creatures, Draco Malfoy, Hippogriff, Rubeus Hagrid, final detention, secretly teach, students, past accomplishments, escaping Voldemort"
Harry Potter and the Order of the Phoenix,16,"Hog's Head, meeting, Harry Potter, Defence lessons, Neville Longbottom, Dean Thomas, Lavender Brown, Parvati Patil, Padma Patil, Cho Chang, Luna Lovegood, Katie Bell, Alicia Spinnet, Angelina Johnson, Colin Creevey, Dennis Creevey, Ernie Macmillan, Justin Finch-Fletchley, Hannah Abbott, Susan Bones, Anthony Goldstein, Michael Corner, Terry Boot, Ginny Weasley, Zacharias Smith, Hufflepuff Quidditch team, Fred Weasley, George Weasley, Lee Jordan, defensive magic, Hermione Granger, parchment, agreement, secret group"
Harry Potter and the Order of the Phoenix,17,"Dolores Umbridge, Educational Decree, Hogwarts High Inquisitor, Hogwarts, Hog's Head, Harry Potter, Hermione Granger, Angelina Johnson, Quidditch, Slytherin, Gryffindor, History of Magic, Hedwig, Sirius Black, Grubbly-Plank, Professor McGonagall, Floo Network, Owl Postal Service, Potions, Draco Malfoy, St Mungo's Hospital for Magical Maladies and Injuries, Neville Longbottom, Ron Weasley, Snape, Strengthening Solution, Divination, Professor Trelawney, Gryffindor common room"
Harry Potter and the Order of the Phoenix,18,"Hermione Granger, Dolores Umbridge, Harry Potter, Hedwig, Angelina Johnson, Gryffindor Quidditch team, Dobby, Room of Requirement, Dumbledore's Army, D.A., Ministry of Magic, Albus Dumbledore, Disarming Charm"
Harry Potter and the Order of the Phoenix,19,"Impediment Jinx, Reductor Curse, Stunning Spell, Hermione Granger, Protean Charm, D.A., Harry Potter, Gryffindor Quidditch team, Slytherin, Ron Weasley, Draco Malfoy, Fred Weasley, George Weasley, Dolores Umbridge, Hagrid"
Harry Potter and the Order of the Phoenix,20,"Hagrid, Ron Weasley, Harry Potter, Hermione Granger, dragon meat, Olympe Maxime, giants, Eastern Europe, Albus Dumbledore, Karkus, Gurg, Golgomath, Death Eaters, Order of the Phoenix, Care of Magical Creatures, Dolores Umbridge"
Harry Potter and the Order of the Phoenix,21,"Hagrid, Dolores Umbridge, Thestrals, Harry Potter, Fred Weasley, George Weasley, Quidditch, Ginny Weasley, Gryffindor, Seeker, Andrew Kirke, Jack Sloper, Beaters, Dumbledore's Army, Impediment Jinx, Stunning Spell, Christmas, Cho Chang, mistletoe, Ron Weasley, Arthur Weasley, Ministry of Magic, snake"
Harry Potter and the Order of the Phoenix,22,"Albus Dumbledore, Harry Potter, Ron Weasley, Professor McGonagall, Hogwarts, Arthur Weasley, St Mungo's Hospital for Magical Maladies and Injuries, Fred Weasley, George Weasley, Ginny Weasley, 12 Grimmauld Place, Portkey, Sirius Black, Mad-Eye Moody, Nymphadora Tonks, Blood-Replenishing Potion, werewolf, Healers, Extendable Ears, Voldemort"
Harry Potter and the Order of the Phoenix,23,"Voldemort, Harry Potter, Albus Dumbledore, Hermione Granger, Weasley family, 12 Grimmauld Place, Christmas, Ginny Weasley, Percy Weasley, Weasley jumper, Molly Weasley, Ron Weasley, Neville Longbottom, St Mungo's Hospital for Magical Maladies and Injuries, Defence Against the Dark Arts, Gilderoy Lockhart"
Harry Potter and the Order of the Phoenix,24,"Harry Potter, Weasley family, Hogwarts, Knight Bus, Arthur Weasley, Albus Dumbledore, Severus Snape, Occlumency, Department of Mysteries"
Harry Potter and the Order of the Phoenix,25,"Azkaban, Broderick Bode, Devil's Snare, St Mungo's Hospital for Magical Maladies and Injuries, Hagrid, Dolores Umbridge, Harry Potter, Cho Chang, Madam Puddifoot's Tea Shop, Hermione Granger, Three Broomsticks Inn, Rita Skeeter, Animagus, Voldemort, Luna Lovegood, Xenophilius Lovegood, The Quibbler"
Harry Potter and the Order of the Phoenix,26,"Hermione Granger, Harry Potter, Cho Chang, Ministry of Magic, Department of Mysteries, Voldemort, The Quibbler, Dolores Umbridge, Hogsmeade, wizarding community, Augustus Rookwood, Broderick Bode, Avery II, Occlumency, Severus Snape, Shield Charm, Professor Trelawney, Albus Dumbledore, Divination, Firenze, centaur"
Harry Potter and the Order of the Phoenix,27,"Harry Potter, Firenze, Divination, centaur, Professor Trelawney, Astrology, Forbidden Forest, Hogwarts, D.A., Patronus Charm, Dobby, Dolores Umbridge, Draco Malfoy, Albus Dumbledore, Professor McGonagall, Cornelius Fudge, Aurors, John Dawlish, Kingsley Shacklebolt, Percy Weasley, Marietta Edgecombe, Cho Chang, Room of Requirement, Dumbledore's Army, Ministry of Magic, Fawkes"
Harry Potter and the Order of the Phoenix,28,"Dolores Umbridge, Headmistress, Inquisitorial Squad, Harry Potter, Albus Dumbledore, Sirius Black, Floo Network, Ministry of Magic, Fred Weasley, George Weasley, Wildfire Whiz-bangs, Cho Chang, Marietta Edgecombe, Occlumency, Severus Snape, Pensieve, James Potter, Lily Evans"
Harry Potter and the Order of the Phoenix,29,"Harry Potter, fifth years, career advice, Professor McGonagall, Auror, Dolores Umbridge, Fred Weasley, George Weasley, Remus Lupin, Sirius Black, James Potter, Severus Snape, Hogwarts, broomsticks, Diagon Alley, Weasleys' Wizard Wheezes"
Harry Potter and the Order of the Phoenix,30,"Fred Weasley, George Weasley, Hogwarts, Harry Potter, Ron Weasley, Hermione Granger, Triwizard Tournament, Gryffindor, Quidditch, Ravenclaw, Hagrid, Grawp, Dolores Umbridge, Albus Dumbledore, centaurs, Firenze, Divination, Forbidden Forest, Quidditch Cup"
Harry Potter and the Order of the Phoenix,31,"Harry Potter, Hermione Granger, Ron Weasley, Grawp, O.W.L. examinations, Astronomy, Dolores Umbridge, Aurors, Hagrid, Hogwarts, Sybill Trelawney, Minerva McGonagall, St Mungo's Hospital for Magical Maladies and Injuries, History of Magic, Sirius Black, Voldemort, Department of Mysteries"
Harry Potter and the Order of the Phoenix,32,"Harry Potter, Ron Weasley, Hermione Granger, Sirius Black, Dolores Umbridge, Kreacher, Department of Mysteries, Inquisitorial Squad, Severus Snape, Veritaserum, Cruciatus Curse, Dementors, Albus Dumbledore, Forbidden Forest"
Harry Potter and the Order of the Phoenix,33,"Hermione Granger, Harry Potter, Dolores Umbridge, Forbidden Forest, centaurs, Skirmish in the Forbidden Forest, Hagrid, Grawp, Ron Weasley, Luna Lovegood, Ginny Weasley, Neville Longbottom, Inquisitorial Squad, Sirius Black, Ministry of Magic, Thestrals"
Harry Potter and the Order of the Phoenix,34,"Ministry of Magic, Department of Mysteries, Hall of Prophecy, Harry Potter, prophecy, Death Eaters"
Harry Potter and the Order of the Phoenix,35,"Lucius Malfoy, Voldemort, Harry Potter, prophecy, Death Eaters, Death Chamber, Order of the Phoenix, Sirius Black, Bellatrix Lestrange, Remus Lupin"
Harry Potter and the Order of the Phoenix,36,"Albus Dumbledore, Death Eaters, Bellatrix Lestrange, Harry Potter, Ministry of Magic, Cruciatus Curse, Voldemort, Disapparate, Sirius Black, Cornelius Fudge, Hogwarts, Portkey"
Harry Potter and the Order of the Phoenix,37,"Albus Dumbledore, Harry Potter, Sirius Black, Occlumency, Severus Snape, Kreacher, Buckbeak, Narcissa Malfoy, Bellatrix Lestrange, prophecy, Dark Lord, Voldemort, Neville Longbottom, half-blood, pureblood, prefect"
Harry Potter and the Order of the Phoenix,38,"Ron Weasley, Hermione Granger, Ministry of Magic, Cornelius Fudge, Voldemort, Harry Potter, Rita Skeeter, Daily Prophet, Professor McGonagall, St Mungo's Hospital for Magical Maladies and Injuries, Hagrid, Sirius Black, Dolores Umbridge, Hogwarts, two-way mirror, Nearly Headless Nick, Luna Lovegood, Thestrals, Veil, Hogwarts Express, Draco Malfoy, Vincent Crabbe, Gregory Goyle, Dumbledore's Army, Cho Chang, Michael Corner, Ginny Weasley, Gryffindor, Ravenclaw, Dean Thomas, King's Cross Station, Mad-Eye Moody, Nymphadora Tonks, Remus Lupin, Dursley family"
Harry Potter and the Half-Blood Prince,1,"Muggle Prime Minister, Cornelius Fudge, Sirius Black, Azkaban, Quidditch World Cup, Triwizard Tournament, Brockdale Bridge, West Country, Amelia Bones, Emmeline Vance, Herbert Chorley, Lord Voldemort, Death Eaters, Giants, Second Wizarding War, Rufus Scrimgeour, Minister for Magic"
Harry Potter and the Half-Blood Prince,2,"Narcissa Malfoy, Bellatrix Lestrange, Severus Snape, Spinner's End, Draco Malfoy, Lord Voldemort, Death Eaters, Battle of the Department of Mysteries, Ministry of Magic, Hogwarts, Philosopher's Stone, Quirinus Quirrell, Harry Potter, Albus Dumbledore, Lucius Malfoy, Unbreakable Vow"
Harry Potter and the Half-Blood Prince,3,"Albus Dumbledore, Harry Potter, 4 Privet Drive, The Burrow, Sirius Black, Black family, 12 Grimmauld Place, Order of the Phoenix, Kreacher, Hogwarts, Dursleys"
Harry Potter and the Half-Blood Prince,4,"Albus Dumbledore, Harry Potter, Hogwarts, Horace Slughorn, Death Eaters, Professor Quirrell, Lord Voldemort, Order of the Phoenix, Slug Club, The Burrow"
Harry Potter and the Half-Blood Prince,5,"The Burrow, Weasley family, Fred Weasley, George Weasley, Ron Weasley, Hermione Granger, Ginny Weasley, Fleur Delacour, Gringotts, Bill Weasley, Arthur Weasley, O.W.L. results, Auror, Severus Snape, N.E.W.T. Potions class"
Harry Potter and the Half-Blood Prince,6,"The Burrow, Harry Potter, Hermione Granger, Weasley family, Diagon Alley, Rubeus Hagrid, Draco Malfoy, Narcissa Malfoy, Madam Malkin's, Weasleys' Wizard Wheezes, Fred Weasley, George Weasley, Ginny Weasley, Pygmy Puff, Invisibility Cloak, Knockturn Alley, Borgin and Burkes, Borgin, Dark artefacts, Dark Mark, Death Eaters, Fenrir Greyback, Ron Weasley"
Harry Potter and the Half-Blood Prince,7,"Hogwarts Express, Harry Potter, Neville Longbottom, Luna Lovegood, Ron Weasley, Hermione Granger, Prefect Carriage, Ginny Weasley, Dean Thomas, Horace Slughorn, Hogsmeade Station, Invisibility Cloak, Draco Malfoy, Vincent Crabbe, Gregory Goyle, Pansy Parkinson, Blaise Zabini, Death Eaters, Lord Voldemort"
Harry Potter and the Half-Blood Prince,8,"Nymphadora Tonks, Ministry of Magic, Hogsmeade, Harry Potter, Severus Snape, Start-of-Term Feast, Albus Dumbledore, Defence Against the Dark Arts, Horace Slughorn, Potions Master, Ron Weasley, O.W.L."
Harry Potter and the Half-Blood Prince,9,"Harry Potter, Ron Weasley, Hermione Granger, Charms, Defence Against the Dark Arts, Herbology, Potions, Transfiguration, N.E.W.T., Severus Snape, Advanced Potion-Making, Horace Slughorn, Half-Blood Prince, Draught of Living Death, Felix Felicis, Ginny Weasley, Tom Riddle"
Harry Potter and the Half-Blood Prince,10,"Albus Dumbledore, Harry Potter, Lord Voldemort, The Pensieve, Bob Ogden, Marvolo Gaunt, Morfin Gaunt, Ministry of Magic, Tom Riddle, Merope Gaunt, Azkaban"
